id;day_value;shift_type;active_week;done_pass;pass_date;unit_passed;pass_blocked;just_view
1;48763;96794;27030;93401;2023-09-28T22:39:24;44495;73919;65514
2;8814;5729;93195;84003;2023-09-28T03:20:30;3015;50937;28904
3;64361;49779;35398;64006;2023-09-28T01:56:51;68118;4514;1481
4;39841;61605;89433;83790;2023-09-28T03:03:12;17726;25448;89824
5;86859;15437;22001;69593;2023-09-28T03:19:21;80717;30713;97132
6;84995;17562;69601;80476;2023-09-28T13:20:30;49378;13295;87660
7;7340;50793;14666;15310;2023-09-28T10:09:34;48765;94424;39708
8;42234;12748;46741;8524;2023-09-28T10:09:53;24330;2515;33481
9;48926;83524;20627;8496;2023-09-28T00:47:07;28348;58106;54965
10;46356;6339;55213;93436;2023-09-28T18:52:20;21402;48314;56864
