id;day_value;shift_type;active_week;done_pass;pass_date;unit_passed
1;90256;23031;66840;57217;2023-09-28T12:46:34;32686
2;34214;39704;66980;26097;2023-09-28T14:47:09;34159
3;70229;14284;58327;74264;2023-09-28T19:51:43;40949
4;22657;17652;42941;92574;2023-09-28T06:35:04;56795
5;36000;13497;45044;62272;2023-09-28T19:43:37;89844
6;2013;26311;95128;12361;2023-09-28T12:25:25;70517
7;60011;33199;22648;11299;2023-09-28T01:37:49;39858
8;40973;23800;87934;41010;2023-09-28T18:34:38;72338
9;37446;6146;99996;49356;2023-09-28T15:23:22;92724
10;88479;16189;76199;10901;2023-09-28T22:43:33;7403
