id;title;message;status;day_value
1;Sports virtual;Steel;53894;87409
2;Account Soap lime;stable Customer;79263;17317
3;Designer bricks-and-clicks;empower Quality-focused programming;11129;31115
4;generating Chief transmit;granular Berkshire Jewelery;28942;6521
5;Garden;Directives middleware multi-byte;99015;3866
6;Club Technician;circuit;94519;80838
7;end-to-end infomediaries impactful;Concrete e-tailers;53111;57681
8;synthesize Object-based;Regional regional Awesome;49915;86395
9;definition;Rufiyaa Camp gold;92727;3053
10;Strategist Assimilated;Cambridgeshire RSS Executive;56668;19219
